"authorText","contentText"
"@Tweetuit","konten ""ko bisa?"" bagus tapi cara baca naratornya, tolong diperbaiki agar lebih  enak di dengar.Terima kasih, Terus semangat berkarya ya!:yougotthis:"
"@yesayaseya1747","Lah Wibu Ko ada I m sama"
"@nouvanmaulana6135","Manusia purba"
"@anantakusuma4306","Aku mau nyelametin golem"
"@risnaanita447","Hai?"
"@kangudin216","imu sama"
"@woderator","Hallo"
"@deanjhon4802","Coba bayangkan dulu berapa tinggi nya nabi adam..."
"@ULTRA_MILK28","Tolong bantrai gua mau hab"
"@masmmaw","Thanos was right"
"@user-zv2nv4ip1w","pertama"
"@Azzamcuy","Telat 1 sm"
"@theforgottenhistorytfh601","Hm.. leh ugha"
"@sandiinaiwan697","First dong"
"@andrinugroho6875","Im sama"
"@akunbuangan-mk6dq","alloo"
"@user-ry3wp2rl7i","Bg gip alok bg anjai FF"
"@fzl9284","Nenek moyang antum aja kali?"
"@erdikardana","firssttttt"
"@zleaxsida","Firs"
"@zleaxsida","Bg"
"@memeapsurt1354","Bang"
"@Antaralangit1998","First"
"@abidmuhtadi3966","first"
"@miru_ch-ux7lp","1"
"@limatussakdiyah6796","P"
"@jans_tube","Selamatkan Godzilla"
"@MCRLCRAFT","Halo bang"
"@fajarnuralim2925","First"
"@woytod","P"
